1;0;10363;1;15089;921.25;2021-03-31;1661;0;0;0;-;2;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;INACTIVO
2;112;0;2;16;798.98;2015-04-08;16;0;0;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;INACTIVO
3;114;1;2;16;798.98;2015-07-08;16;0;0;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
4;291;2;2;169;251.41;2015-07-27;169;0;0;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;INACTIVO
5;292;3;2;66;9923.76;2015-07-27;66;0;0;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
6;295;4;2;65;1153.47;2015-07-28;65;0;0;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
7;295;5;1;206;0.01;2015-07-28;11911;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
8;296;6;2;36;1574.1;2015-07-28;36;0;0;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
9;297;7;1;203;7.56;2015-07-07;11908;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
10;298;8;1;271;17.25;2015-07-21;11943;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
11;299;55;1;276;3.66;2015-07-21;11947;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
12;300;9;1;197;330.53;2015-07-15;11904;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
13;301;10;1;191;440.7;2015-07-15;11903;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
14;302;11;1;281;440.7;2015-07-24;11952;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
15;303;12;1;280;220.35;2015-07-24;11951;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
16;304;13;1;274;330.53;2015-07-24;11945;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
17;305;56;1;275;220.35;2015-07-24;11946;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
18;306;57;1;272;330.53;2015-07-24;11944;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
19;307;58;1;256;220.35;2015-07-24;11928;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
20;308;59;1;263;17.82;2015-07-17;11935;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
21;309;110;1;257;6.5;2015-07-14;11929;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
22;310;111;1;200;194.58;2015-07-10;11907;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
23;311;112;1;209;278.2;2015-07-09;11914;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
24;312;113;1;167;329.55;2015-07-14;11898;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
25;313;114;1;248;8.5;2015-07-10;11921;0;0;0;;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;2021-03-31 00:00:00;1;ACTIVO
