1;000-000-000000000;471;107;2015-01-11;1;1365;343;1;APLICABLES AL 1%;1;18;1800;12185;1;1114;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
2;000-100-100001092;735;406;2016-15-01;1;1970;343;1;APLICABLES AL 1%;1;0.56;56;12356;1;1529;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
3;001-001-000000015;2521;474;2018-26-01;1;6360;343;1;APLICABLES AL 1%;1;7.95;795;13999;1;6285;1.1.05.003.001.;7;68;42;2018-06-03 13:52:33;1;2022-01-01 12:00:00;0;ACTIVO
4;001-001-000000032;4595;530;2019-17-10;1;10922;312;1;COMPRA DE BIENES MUEBLES;1;7.95;795;51;2;10838;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
5;001-001-000000033;2417;475;2018-02-01;1;6111;343;1;APLICABLES AL 1%;1;7.3;730;13917;1;6085;1.1.05.003.001.;7;68;42;2018-06-03 13:52:32;1;2022-01-01 12:00:00;0;ACTIVO
6;001-001-000000034;2583;474;2018-08-02;1;6606;343;1;APLICABLES AL 1%;1;7.95;795;14058;1;6437;1.1.05.003.001.;7;72;42;2018-20-03 15:47:52;1;2022-01-01 12:00:00;0;ACTIVO
7;001-001-000000034;3447;336;2018-15-11;1;8391;343;1;APLICABLES AL 1%;1;7.45;745;14669;1;8130;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;INACTIVO
8;001-001-000000034;4645;526;2019-12-11;1;11064;312;1;COMPRA DE BIENES MUEBLES;1;31.8;3180;99;2;10997;1.1.05.003.001.;7;132;52;2020-03-02 18:45:11;1;2022-01-01 12:00:00;0;ACTIVO
9;001-001-000000037;3461;336;2018-11-10;1;8416;343;1;APLICABLES AL 1%;1;7.45;745;14669;1;8130;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
10;001-001-000000038;3462;336;2018-15-11;1;8418;343;1;APLICABLES AL 1%;1;7.45;745;14751;1;8378;1.1.05.003.001.;7;99;42;2018-18-12 17:14:37;1;2022-01-01 12:00:00;0;ACTIVO
11;001-001-000000039;2584;474;2018-21-02;1;6607;343;1;APLICABLES AL 1%;1;15.9;1590;14074;1;6484;1.1.05.003.001.;7;72;42;2018-20-03 15:47:52;1;2022-01-01 12:00:00;0;ACTIVO
12;001-001-000000043;2456;475;2018-12-01;1;6212;343;1;APLICABLES AL 1%;1;14.6;1460;13960;1;6190;1.1.05.003.001.;7;68;42;2018-06-03 13:52:32;1;2022-01-01 12:00:00;0;ACTIVO
13;001-001-000000048;4637;530;2019-11-11;1;11058;312;1;COMPRA DE BIENES MUEBLES;1;15.9;1590;106;2;11012;1.1.05.003.001.;7;132;52;2020-03-02 18:45:11;1;2022-01-01 12:00:00;0;ACTIVO
14;001-001-000000057;4160;469;2019-10-04;1;9918;312;1;COMPRA DE BIENES MUEBLES;1;7.45;745;15172;1;9572;1.1.05.003.001.;7;122;52;2019-20-06 12:52:19;1;2022-01-01 12:00:00;0;ACTIVO
15;001-001-000000057;4678;530;2019-14-11;1;11127;312;1;COMPRA DE BIENES MUEBLES;1;12.72;1272;129;2;11079;1.1.05.003.001.;7;132;52;2020-03-02 18:45:11;1;2022-01-01 12:00:00;0;ACTIVO
16;001-001-000000057;7746;494;2021-16-09;1;16848;312;1;COMPRA DE BIENES MUEBLES;1.75;13.04;745;2326;2;16791;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
17;001-001-000000057;7747;494;2021-16-09;1;16848;607;0;30% RETENCION RECIBIDA EN VENTAS;30;26.82;89.4;2326;2;16791;1.1.05.006.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
18;001-001-000000063;2718;474;2018-13-03;1;6862;343;1;APLICABLES AL 1%;1;7.95;795;14158;1;6670;1.1.05.003.001.;7;83;27;2018-16-08 09:50:01;1;2022-01-01 12:00:00;0;ACTIVO
19;001-001-000000077;4890;526;2020-24-01;1;11584;312;1;COMPRA DE BIENES MUEBLES;1;15.9;1590;295;2;11502;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
20;001-001-000000084;4721;530;2019-26-11;1;11197;312;1;COMPRA DE BIENES MUEBLES;1;12.72;1272;159;2;11162;1.1.05.003.001.;7;132;52;2020-03-02 18:45:12;1;2022-01-01 12:00:00;0;ACTIVO
21;001-001-000000086;4232;469;2019-06-06;1;10091;312;1;COMPRA DE BIENES MUEBLES;1;5.96;596;15307;1;10010;1.1.05.003.001.;7;124;52;2019-21-08 13:48:40;1;2022-01-01 12:00:00;0;ACTIVO
22;001-001-000000090;3424;509;2018-11-10;1;8329;343;1;APLICABLES AL 1%;1;2.7;270;14668;1;8129;1.1.05.003.001.;7;96;42;2018-15-11 12:28:13;1;2022-01-01 12:00:00;0;ACTIVO
23;001-001-000000093;5573;154;2020-15-07;1;13070;312;1;COMPRA DE BIENES MUEBLES;1.75;15.64;894;888;2;13033;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
24;001-001-000000125;5642;154;2020-12-08;1;13230;312;1;COMPRA DE BIENES MUEBLES;1.75;26.08;1490;944;2;13212;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
25;001-001-000000150;2238;468;2017-27-09;1;5655;343;1;APLICABLES AL 1%;1;4.6;460;13748;1;5634;1.1.05.003.001.;7;53;42;2017-27-10 14:41:27;1;2022-01-01 12:00:00;0;ACTIVO
26;001-001-000000151;2859;474;2018-09-05;1;7140;343;1;APLICABLES AL 1%;1;7.95;795;14304;1;7094;1.1.05.003.001.;7;80;42;2018-14-06 17:21:15;1;2022-01-01 12:00:00;0;ACTIVO
27;001-001-000000156;4430;526;2019-26-08;1;10572;312;1;COMPRA DE BIENES MUEBLES;1;15.9;1590;15460;1;10502;1.1.05.003.001.;7;134;52;2020-05-02 20:36:24;1;2022-01-01 12:00:00;0;ACTIVO
28;001-001-000000158;4702;535;2019-14-11;1;11171;312;1;COMPRA DE BIENES MUEBLES;1;35.76;3576;124;2;11072;1.1.05.003.001.;7;132;52;2020-03-02 18:45:12;1;2022-01-01 12:00:00;0;ACTIVO
29;001-001-000000159;4701;535;2019-25-11;1;11170;312;1;COMPRA DE BIENES MUEBLES;1;17.88;1788;154;2;11145;1.1.05.003.001.;7;132;52;2020-03-02 18:45:12;1;2022-01-01 12:00:00;0;ACTIVO
30;001-001-000000200;4918;530;2020-01-02;1;11660;312;1;COMPRA DE BIENES MUEBLES;1;23.85;2385;333;2;11621;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
31;001-001-000000216;1779;462;2017-07-03;1;4619;343;1;APLICABLES AL 1%;1;13;1300;13379;1;4561;1.1.05.003.001.;7;41;40;2017-09-05 12:16:22;1;2022-01-01 12:00:00;0;ACTIVO
32;001-001-000000230;3008;497;2018-07-06;1;7458;343;1;APLICABLES AL 1%;1;14.84;1484.04;14371;1;7304;1.1.05.003.001.;7;82;42;2018-19-07 09:20:02;1;2022-01-01 12:00:00;0;ACTIVO
33;001-001-000000249;8124;494;2021-18-11;1;17506;312;1;COMPRA DE BIENES MUEBLES;1.75;13.04;745;2535;2;17344;1.1.05.003.001.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
34;001-001-000000249;8125;494;2021-18-11;1;17506;607;0;30% RETENCION RECIBIDA EN VENTAS;30;26.82;89.4;2535;2;17344;1.1.05.006.;7;NULL;NULL;NULL;1;2022-01-01 12:00:00;0;ACTIVO
