1;12106;1;0;2015-09-23;15:25:00;284;120;;23;2015-09-24 15:25:12;NULL;NULL;25;2021-02-03 19:22:54;2015-09-24;2015-09-24;VIA DAULE KM 11.5 S/N;ALMACEN MARIA JOSE;7;0;9874;.;NULL;NULL;6;0;NULL;NULL;0;INACTIVO
2;11879;1;0;2016-06-17;13:03:00;284;1;SDASDASDSA;0;2016-06-17 13:03:00;NULL;NULL;NULL;NULL;2016-06-17;2016-06-17;VIA DAULE KM 11.5 S/N;AV. LAS MONJAS # 10 Y AV. CARLOS JULIO A;7;0;9875;;NULL;NULL;NULL;0;NULL;NULL;0;ACTIVO
3;NULL;NULL;1;2016-06-17;13:04:00;324;1;;0;2016-06-17 13:04:02;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;ACTIVO
4;NULL;NULL;1;2016-09-08;11:18:00;NULL;1;12235465;33;2016-09-08 11:18:34;NULL;NULL;NULL;NULL;2016-09-09;2016-09-09;BAGSACORP;LOT. MUCHO LOTE MZ. 2132 SL. 17;9;0;9876;;NULL;NULL;6;1;313;NULL;0;ACTIVO
5;13039;1;0;2016-09-08;12:24:00;421;1;;33;2016-09-08 12:24:12;NULL;NULL;NULL;NULL;2016-10-12;2016-10-12;VIA DAULE KM 11.5 S/N;CDLA. LA FAE AV. CARLOS LUIS PLAZA DAÑIN;10;0;9877;;NULL;NULL;6;0;NULL;NULL;0;ACTIVO
6;13122;1;0;2016-10-14;16:51:00;449;1;;39;2016-10-14 16:51:59;NULL;NULL;NULL;NULL;2016-10-14;2016-10-14;BAGSACORP;TENGUEL;10;0;11261;;NULL;NULL;6;0;NULL;NULL;0;ACTIVO
7;13121;1;0;2016-10-14;16:57:00;204;1;;39;2016-10-14 16:57:34;NULL;NULL;NULL;NULL;2016-10-14;2016-10-14;BAGSACORP;BUENAVISTA;10;0;11262;;NULL;NULL;6;0;NULL;NULL;0;ACTIVO
8;13123;1;0;2016-10-14;17:10:00;432;1;;39;2016-10-14 17:10:55;NULL;NULL;NULL;NULL;2016-10-14;2016-10-14;BAGSACORP;GUAYAQUIL;11;0;11263;;NULL;NULL;6;0;NULL;NULL;0;ACTIVO
9;13124;1;0;2016-10-17;16:52:00;28;1;;39;2016-10-17 16:52:20;NULL;NULL;NULL;NULL;2016-10-18;2016-10-18;BAGSACORP;VERGEL;10;0;11266;;NULL;NULL;6;0;NULL;NULL;0;ACTIVO
10;13125;1;0;2016-10-17;17:53:00;305;1;;39;2016-10-17 17:53:14;NULL;NULL;NULL;NULL;2016-10-18;2016-10-18;BAGSACORP;ISLA BEJUCAL;10;0;11267;;NULL;NULL;6;0;NULL;NULL;0;ACTIVO
