1;ZUNNAR00004;R. 2662;2015-07-01;PRODUCCION;1.1.03.001.;23;2015-08-21 17:22:21;NULL;NULL;NULL;NULL;8;2;27;2015-09-25 12:23:29;1.046;0;2016-01-20 11:29:45;336;1679.81;530.71;100.2;-0.01;NULL;0;NULL;0;0;ACTIVO
2;ZUNNAR00004;R. 2663;2015-07-02;PRODUCCION-ESTIBA SANTISTEVAN;1.1.03.001.;23;2015-08-21 17:53:09;NULL;NULL;NULL;NULL;8;1;27;2015-10-20 16:54:43;1.015;0;2016-01-20 11:29:45;355;1774.17;353.35;58.47;-0.1;NULL;0;NULL;0;0;ACTIVO
3;ZUNNAR00004;R. 2664;2015-07-02;PRODUCCION;1.1.03.001.;23;2015-08-24 17:04:58;NULL;NULL;NULL;NULL;8;2;27;2015-10-21 09:18:56;1.01;0;2016-01-20 11:29:45;60;301.81;0;49.1;2.44;NULL;0;NULL;0;0;ACTIVO
4;ZUNAZU00002;R.2665;2015-07-02;PRODUCCION;1.1.03.001.;23;2015-08-24 17:18:10;NULL;NULL;NULL;NULL;8;2;27;2015-11-16 09:47:51;1.089;0;2016-01-20 11:29:45;273;1366.79;473.16;32.67;0;NULL;0;NULL;0;0;ACTIVO
5;ZUNAZU00002;R. 2666;2015-07-03;ESTIBA MORA $5;1.1.03.001.;23;2015-08-27 17:04:06;NULL;NULL;NULL;NULL;8;1;27;2015-11-16 09:48:06;1.089;0;2016-01-20 11:29:45;328;1639.45;661.9;23.7;0.02;NULL;0;NULL;0;0;ACTIVO
6;ZUNAZU00002;R. 2667;2015-07-03;PRODUCCION;1.1.03.001.;23;2015-08-28 11:53:24;NULL;NULL;NULL;NULL;8;2;27;2015-11-16 09:48:24;1.115;0;2016-01-20 11:29:45;328;1638.19;721.68;33.5;0;NULL;0;NULL;0;0;ACTIVO
7;ZUNAZU00002;R. 2668;2015-07-04;SE TRABAJO FIN DE SEMANA 0.027;1.1.03.001.;23;2015-08-28 14:51:03;NULL;NULL;NULL;NULL;8;1;27;2015-11-16 09:48:36;1.135;0;2016-01-20 11:29:45;260;1301.66;626.34;36.17;-0.2;NULL;0;NULL;0;0;ACTIVO
8;ZUNAZU00002;R. 2670;2015-07-07;PRODUCCION;1.1.03.001.;23;2015-08-28 15:22:20;NULL;NULL;NULL;NULL;8;1;27;2015-11-16 09:48:49;1.132;0;2016-01-20 11:29:45;252;1257.81;648.85;72.61;-0.01;NULL;0;NULL;0;0;ACTIVO
9;ZUNAZU00002;R. 2671;2015-07-07;PRODUCCION;1.1.03.001.;23;2015-08-28 15:37:52;NULL;NULL;NULL;NULL;8;2;27;2015-11-16 09:49:06;1.15;0;2016-01-20 11:29:45;344;1720.5;561.17;19.64;0.02;NULL;0;NULL;0;0;ACTIVO
10;ZUNAZU00002;R. 2672;2015-07-08;PRODUCCION;1.1.03.001.;23;2015-08-28 15:47:04;NULL;NULL;NULL;NULL;8;1;27;2015-11-16 09:49:23;1.152;0;2016-01-20 11:29:45;197;985.11;0;56.1;9.73;NULL;0;NULL;0;0;ACTIVO
