1;1;2;356;D;2015-07-01;479.81;479.81;0;01-01106 V- 24/05/2015;2015-98;0;0;26;2015-07-13 11:31:52;ACTIVO
2;2;2;371;D;2015-07-01;643.78;0;643.78;01-011579 V- 19/04/2015;2015-99;0;0;26;2015-07-13 11:38:56;ACTIVO
3;3;2;175;D;2015-07-01;0.44;0.44;0;01-011555 SI;2015-100;0;0;26;2015-07-13 11:40:24;ACTIVO
4;4;2;335;D;2015-07-01;239.9;0;239.9;01-011647 V- 09/05/2015;2015-101;0;0;26;2015-07-13 11:42:59;ACTIVO
5;5;2;327;D;2015-07-01;336;336;0;01-011578 V- 19/04/2015;2015-102;0;0;26;2015-07-13 11:44:41;ACTIVO
6;6;2;386;D;2015-07-01;6040.28;6040.28;0;01-11237 V- 08/01/2015;2015-103;0;0;26;2015-07-13 11:47:38;ACTIVO
7;7;2;348;D;2015-07-01;804.53;804.53;0;01-011770 SI;2015-104;0;0;26;2015-07-13 11:52:57;ACTIVO
8;8;2;348;D;2015-07-01;811.78;0;811.78;01-011815 SI;2015-105;4;0;26;2015-07-13 11:53:59;INACTIVO
9;9;2;348;D;2015-07-01;324.71;0;324.71;01-011855 SI;2015-106;16;0;26;2015-07-13 11:54:50;INACTIVO
10;10;2;348;D;2015-07-01;487.07;0;487.07;01-011858 SI;2015-107;18;0;26;2015-07-13 11:55:33;INACTIVO
11;11;2;361;D;2015-07-01;713.28;713.28;0;01-011694 V- 28/05/2015;2015-108;0;0;26;2015-07-13 11:56:31;ACTIVO
12;12;2;361;D;2015-07-01;713.28;713.28;0;01-011831 V- 11/07/2015;2015-109;10;0;26;2015-07-13 11:57:32;ACTIVO
13;13;2;24;D;2015-07-01;6506.28;6506.28;0;01-011708 SI;2015-110;0;0;26;2015-07-13 11:58:36;ACTIVO
14;14;2;24;D;2015-07-01;4879.71;4879.71;0;01-011799 V- 01/07/2015;2015-111;0;0;26;2015-07-13 11:59:31;ACTIVO
15;15;2;24;D;2015-07-01;5520.48;0;5520.48;01-011866 SI;2015-112;21;0;26;2015-07-13 12:00:32;INACTIVO
16;16;2;313;D;2015-07-01;798.98;798.98;0;01-011736 SI;2015-113;0;0;26;2015-07-13 12:01:35;ACTIVO
17;17;2;181;D;2015-07-01;183.15;183.15;0;01-011733 SI;2015-114;0;0;26;2015-07-13 12:02:40;ACTIVO
18;18;2;181;D;2015-07-01;244.2;244.2;0;01-011756 V- 18/06/2015;2015-115;0;0;26;2015-07-13 12:03:31;ACTIVO
19;19;2;181;D;2015-07-01;5244.75;5244.75;0;01-011775 V- 26/06/2015;2015-116;0;0;26;2015-07-13 12:04:42;ACTIVO
20;20;2;181;D;2015-07-01;8391.6;8391.6;0;01-011776 V- 26/06/2015;2015-117;0;0;26;2015-07-13 12:05:41;ACTIVO
21;21;2;181;D;2015-07-01;244.2;244.2;0;01-011824  V- 09/07/2015;2015-118;8;0;26;2015-07-13 12:06:41;ACTIVO
22;22;2;12;D;2015-07-01;3026.23;3026.23;0;01-011786 SI;2015-119;0;0;26;2015-07-13 12:07:35;ACTIVO
23;23;2;12;D;2015-07-01;4299.57;4299.57;0;01-011868 V- 22/07/2015;2015-120;21;0;26;2015-07-13 12:08:31;ACTIVO
24;24;2;165;D;2015-07-01;3200.08;3200.08;0;01-011750 V- 13/07/2015;2015-121;0;0;26;2015-07-13 12:10:08;ACTIVO
25;25;2;165;D;2015-07-01;1668.58;0;1668.58;01-011823 SI;2015-122;38;0;26;2015-07-13 12:11:05;INACTIVO
26;26;2;15;D;2015-07-01;1653.68;1653.68;0;01-011741 SI;2015-123;0;0;26;2015-07-13 12:11:57;ACTIVO
27;27;2;296;D;2015-07-01;319.2;0;319.2;01-011838 V- 12/07/2015;2015-124;11;0;26;2015-07-13 12:12:59;INACTIVO
28;28;2;160;D;2015-07-01;4534.35;4534.35;0;01-011810 V- 04/07/2015;2015-125;3;0;26;2015-07-13 12:13:54;ACTIVO
29;29;2;90;D;2015-07-01;993.45;993.45;0;01-011829 SI;2015-126;10;0;26;2015-07-13 12:14:39;ACTIVO
30;30;2;332;D;2015-07-01;629.37;629.37;0;01-011832 SI;2015-127;10;0;26;2015-07-13 12:15:22;ACTIVO
31;31;2;332;D;2015-07-01;629.37;629.37;0;01-011833 SI;2015-128;10;0;26;2015-07-13 12:15:59;ACTIVO
32;32;2;332;D;2015-07-01;59.36;0;59.36;01-011862 SI;2015-129;18;0;26;2015-07-13 12:16:37;INACTIVO
33;33;2;332;D;2015-07-01;1058.4;0;1058.4;01-011863 SI;2015-130;18;0;26;2015-07-13 12:17:27;INACTIVO
