1;3;  ;PET MOLIDO (NACIONAL);1;13;4;0;1;0;0;0;0;0.385;0.35;0.36;0;0;0;0;0;0;;991;2018-08-07 00:00:00;6435;9080;0;NULL;;33;2016-07-26 11:05:53;38;2017-08-25 10:55:05;NULL;NULL;0;0;NULL;NULL;4;0;0;2;0;45;2018-05-17 10:17:54;0;0;0;;1;;1;0;0;NULL;0;0;0;0;2;0;NULL;NULL;NULL;1;1;0;ACTIVO
2;45872000383;  ;TACHOS BASURA ABATIBLE;1;23;1;0;1;0;0;0;1;0;0.66;0.66;0;0;0;0;5.8;0;;NULL;NULL;NULL;NULL;0;NULL;;NULL;NULL;21;2015-07-01 08:03:03;NULL;NULL;0;0;NULL;NULL;1;0;0;1;0;NULL;NULL;0;0;0;;1;;1;0;1;3;0;0;0.66;0;0;0;NULL;NULL;NULL;1;1;0;ACTIVO
3;45872002479;  ;PLATERA BLANCA;1;23;1;0;1;0;0;0;1;0;0.66;0.66;NULL;0;0;0;3.68;NULL;;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;0;NULL;NULL;0;0;0;;1;;1;0;1;3;0;0;0.66;0;0;0;NULL;NULL;NULL;1;1;0;ACTIVO
4;45872090247;  ;PLATERA GRANITO;1;23;1;0;1;0;0;0;1;0;0.66;0.66;NULL;0;0;0;3.68;NULL;;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;0;NULL;NULL;0;0;0;;1;;1;0;1;3;0;0;0.66;0;0;0;NULL;NULL;NULL;1;1;0;ACTIVO
5;45872200240;  ;PLATERA TRANSPARENTE;1;23;1;0;1;0;0;0;1;0;0.66;0.66;NULL;0;0;0;3.68;NULL;;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;0;NULL;NULL;0;0;0;;1;;1;0;1;3;0;0;0.66;0;0;0;NULL;NULL;NULL;1;1;0;ACTIVO
6;45872720243;  ;PLATERA VERDE;1;23;1;0;1;0;0;0;1;0;1;1;NULL;0;0;0;3.68;NULL;;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;0;NULL;NULL;0;0;0;;1;;1;0;1;3;0;0;1;0;0;0;NULL;NULL;NULL;1;1;0;ACTIVO
7;ADIMLLMARLE;  ;MLLDPE C/A M.I 1 MARLEX D139K;1;26;6;0;1;0;0;0;0;1.395;1.395;1.395;0;0;0;0;0;0;;1178;2019-01-21 00:00:00;7640;25;0;NULL;;29;2019-01-24 16:36:06;NULL;NULL;NULL;NULL;0;0;NULL;NULL;4;0;0;2;0;NULL;NULL;0;0;0;;1;;1;0;0;NULL;0;0;0;0;0;0;NULL;NULL;NULL;1;1;0;ACTIVO
8;ADITUV236;  ;ADITIVO QUIMICAL MB UV 236;1;26;6;0;1;0;0;0;1;5.5;3.11;5.5;0;0;0;0;0;0;;42;2018-03-27 00:00:00;5048;77;0;NULL;;42;2017-12-06 17:07:39;NULL;NULL;NULL;NULL;0;0;NULL;NULL;4;0;0;2;0;NULL;NULL;0;0;0;;1;;1;0;0;NULL;0;0;0;0;0;0;NULL;NULL;NULL;1;1;0;ACTIVO
9;ADITUV720;  ;ADITIVO UV 720 AO;1;26;6;0;1;0;0;0;1;0;3.11;2.865;0;0;0;0;0;0;;NULL;NULL;NULL;NULL;0;NULL;;23;2015-08-08 12:22:46;29;2021-02-09 16:43:22;NULL;NULL;0;0;NULL;NULL;6;0;0;2;0;NULL;NULL;0;0;0;;1;;1;0;0;3;0;0;2.865;0;0;0;NULL;NULL;NULL;1;1;0;ACTIVO
10;ADI-UV;  ;ADITIVO UV -740;1;26;6;0;1;0;0;0;1;0;5.11;5.704;0;0;0;0;0;0;ADITIVO UV;NULL;NULL;NULL;NULL;0;NULL;;NULL;NULL;29;2021-02-09 16:39:28;NULL;NULL;0;0;NULL;NULL;6;0;0;1;0;NULL;NULL;0;0;0;;1;;1;0;0;3;0;0;5.704;0;0;0;NULL;NULL;NULL;1;1;0;ACTIVO
