1;0000001;93;N/A;999999999;1509;1690.08;181.08;0;0;2019-02-10;29;1;1;GENERADA;ACTIVA
2;0000002;488;N/A;999999999;5960;6675.2;715.2;894;0;2019-02-10;29;1;1;GENERADA;ACTIVA
3;0000003;506;N/A;999999999;5960;6675.2;715.2;894;0;2019-02-10;29;1;1;GENERADA;ACTIVA
4;0000004;489;N/A;999999999;4470;5006.4;536.4;685.4;0;2019-02-10;29;1;1;GENERADA;ACTIVA
5;0000005;489;N/A;999999999;4470;5006.4;536.4;670.5;0;2019-02-10;29;1;1;GENERADA;ACTIVA
6;0000006;489;N/A;999999999;4470;5006.4;536.4;670.5;0;2019-02-10;29;1;1;GENERADA;ACTIVA
7;0000007;508;N/A;999999999;2980;3337.6;357.6;447;0;2019-02-10;29;1;1;GENERADA;ACTIVA
8;0000008;273;N/A;999999999;2028;2271.36;243.36;0;0;2019-02-10;29;1;1;GENERADA;ACTIVA
9;0000009;273;N/A;999999999;338;378.56;40.56;0;0;2019-02-10;29;1;1;GENERADA;ACTIVA
10;0000010;274;N/A;999999999;338;378.56;40.56;0;0;2019-02-10;29;1;1;GENERADA;ACTIVA
11;0000011;271;N/A;999999999;676;757.12;81.12;0;0;2019-02-10;29;1;1;GENERADA;ACTIVA
12;0000012;272;N/A;999999999;676;757.12;81.12;0;0;2019-02-10;29;1;1;GENERADA;ACTIVA
13;0000013;321;N/A;999999999;1690;1892.8;202.8;0;0;2019-03-10;29;1;1;GENERADA;ACTIVA
14;0000014;102;N/A;999999999;88;98.56;10.56;0;0;2019-03-10;29;1;1;GENERADA;ACTIVA
15;0000015;243;N/A;999999999;1590;1780.8;190.8;0;0;2019-03-10;29;1;1;GENERADA;ACTIVA
16;0000016;284;N/A;999999999;1611;1804.32;193.32;0;0;2019-07-10;29;1;1;GENERADA;ACTIVA
17;0000017;165;N/A;999999999;1590;1780.8;190.8;0;0;2019-07-10;29;1;1;GENERADA;ACTIVA
18;0000018;107;N/A;999999999;1800;2016;216;0;0;2019-07-10;29;1;1;GENERADA;ACTIVA
19;0000019;243;N/A;999999999;477;534.24;57.24;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
20;0000020;243;N/A;999999999;159;178.08;19.08;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
21;0000021;243;N/A;999999999;795;890.4;95.4;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
22;0000022;243;N/A;999999999;795;890.4;95.4;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
23;0000023;243;N/A;999999999;1590;1780.8;190.8;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
24;0000024;202;N/A;999999999;2385;2671.2;286.2;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
25;0000025;154;N/A;999999999;1490;1668.8;178.8;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
26;0000026;421;N/A;999999999;596;667.52;71.52;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
27;0000027;269;N/A;999999999;507;567.84;60.84;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
28;0000028;270;N/A;999999999;507;567.84;60.84;0;0;2019-10-10;29;1;1;GENERADA;ACTIVA
29;0000029;506;N/A;999999999;2980;3337.6;357.6;447;0;2019-11-10;29;1;1;GENERADA;ACTIVA
30;0000030;488;N/A;999999999;4470;5006.4;536.4;670.5;0;2019-11-10;29;1;1;GENERADA;ACTIVA
31;0000031;28;N/A;999999999;2900;3248;348;0;0;2019-11-10;29;1;1;GENERADA;ACTIVA
32;0000032;405;N/A;999999999;6556;7342.72;786.72;0;0;2019-14-10;29;1;1;GENERADA;ACTIVA
33;0000033;516;N/A;999999999;596;667.52;71.52;0;0;2019-14-10;29;1;1;GENERADA;ACTIVA
34;0000034;243;N/A;999999999;1590;1780.8;190.8;0;0;2019-14-10;29;1;1;GENERADA;ACTIVA
35;0000035;508;N/A;999999999;2980;3337.6;357.6;447;0;2019-15-10;29;1;1;GENERADA;ACTIVA
36;0000036;489;N/A;999999999;4470;5006.4;536.4;670.5;0;2019-15-10;29;1;1;GENERADA;ACTIVA
37;0000037;24;N/A;999999999;4050;4536;486;0;0;2019-15-10;29;1;1;GENERADA;ACTIVA
38;0000038;130;N/A;999999999;1300;1456;156;0;0;2019-15-10;29;1;1;GENERADA;ACTIVA
39;0000039;130;N/A;999999999;1950;2184;234;0;0;2019-15-10;29;1;1;GENERADA;ACTIVA
